"Alue";"Year2024";"Year2023"
"Akaa";16387;4451
"Alajärvi";9078;3296
"Alavieska";2410;678
"Alavus";10780;3833
"Asikkala";7889;2108
"Askola";4651;1273
"Aura";3966;1139
"Brändö";430;147
"Eckerö";956;249
"Enonkoski";1288;362
"Enontekiö";1762;642
"Espoo";320931;138103
"Eura";11084;3951
"Eurajoki";9052;3757
"Evijärvi";2272;853
"Finström";2617;911
"Forssa";16478;7395
"Föglö";502;201
"Geta";514;118
"Haapajärvi";6492;2615
"Haapavesi";6365;2511
"Hailuoto";927;220
"Halsua";985;325
"Hamina";19311;6143
"Hammarland";1636;371
"Hankasalmi";4509;1280
"Hanko";7702;3499
"Harjavalta";6647;3530
"Hartola";2482;823
"Hattula";9361;2777
"Hausjärvi";7901;1744
"Heinola";17829;6076
"Heinävesi";2929;955
"Helsinki";684018;430886
"Hirvensalmi";2059;497
"Hollola";22849;5808
"Huittinen";9555;3962
"Humppila";2094;497
"Hyrynsalmi";2002;509
"Hyvinkää";47031;19649
"Hämeenkyrö";10348;2791
"Hämeenlinna";68433;28758
"Ii";9806;2391
"Iisalmi";20463;8667
"Iitti";6401;1878
"Ikaalinen";6758;2164
"Ilmajoki";12429;3381
"Ilomantsi";4382;1255
"Imatra";24724;8700
"Inari";7224;3264
"Inkoo";5402;1307
"Isojoki";1794;644
"Isokyrö";4319;1299
"Janakkala";16015;4972
"Joensuu";78741;35348
"Jokioinen";4848;1532
"Jomala";5789;2513
"Joroinen";4552;1287
"Joutsa";4099;1288
"Juuka";4160;1319
"Juupajoki";1668;656
"Juva";5674;1753
"Jyväskylä";149194;66792
"Jämijärvi";1658;445
"Jämsä";19116;6706
"Järvenpää";46871;14078
"Kaarina";36551;10651
"Kaavi";2589;718
"Kajaani";36433;15599
"Kalajoki";12271;4303
"Kangasala";33951;8812
"Kangasniemi";5062;1555
"Kankaanpää";12478;5300
"Kannonkoski";1186;348
"Kannus";5264;1998
"Karijoki";1159;329
"Karkkila";8440;2612
"Karstula";3573;1230
"Karvia";2170;666
"Kaskinen";1241;396
"Kauhajoki";12518;5201
"Kauhava";15050;6118
"Kauniainen";10253;2574
"Kaustinen";4118;1535
"Keitele";1985;912
"Kemi";19402;8006
"Kemijärvi";6954;2131
"Keminmaa";7604;2809
"Kemiönsaari";6371;2155
"Kempele";19657;7038
"Kerava";38461;12255
"Keuruu";9128;3143
"Kihniö";1703;544
"Kinnula";1492;431
"Kirkkonummi";41635;10713
"Kitee";9566;3020
"Kittilä";6837;4037
"Kiuruvesi";7354;2231
"Kivijärvi";1011;237
"Kokemäki";6668;2274
"Kokkola";48367;21321
"Kolari";3987;1703
"Konnevesi";2441;762
"Kontiolahti";15071;3817
"Korsnäs";1986;595
"Koski Tl";2186;856
"Kotka";50210;21513
"Kouvola";78386;29271
"Kristiinankaupunki";6121;2355
"Kruunupyy";6342;2178
"Kuhmo";7483;2565
"Kuhmoinen";2038;552
"Kumlinge";273;93
"Kuopio";125666;55391
"Kuortane";3335;1295
"Kurikka";19509;6780
"Kustavi";970;298
"Kuusamo";14876;5985
"Kyyjärvi";1155;397
"Kärkölä";4093;1566
"Kärsämäki";2373;945
"Kökar";227;95
"Lahti";121337;51282
"Laihia";7656;1730
"Laitila";8479;3664
"Lapinjärvi";2429;768
"Lapinlahti";8865;2648
"Lappajärvi";2758;805
"Lappeenranta";73327;31615
"Lapua";14028;4498
"Laukaa";18878;5286
"Lemi";2849;480
"Lemland";2134;362
"Lempäälä";24854;7890
"Leppävirta";8971;2746
"Lestijärvi";665;227
"Lieksa";10049;3282
"Lieto";20666;7012
"Liminka";10190;2503
"Liperi";11913;3481
"Lohja";45687;14993
"Loimaa";15295;6067
"Loppi";7657;1868
"Loviisa";14352;4704
"Luhanka";711;147
"Lumijoki";2008;494
"Lumparland";371;114
"Luoto";5884;1169
"Luumäki";4358;1146
"Maalahti";5415;1693
"Maarianhamina - Mariehamn";11866;9504
"Marttila";1910;504
"Masku";9592;2413
"Merijärvi";1059;262
"Merikarvia";2904;943
"Miehikkälä";1703;442
"Mikkeli";51890;21399
"Muhos";8749;2495
"Multia";1393;521
"Muonio";2313;1038
"Mustasaari";19738;5381
"Muurame";10614;2849
"Mynämäki";7477;1899
"Myrskylä";1677;454
"Mäntsälä";20934;6138
"Mänttä-Vilppula";9270;3407
"Mäntyharju";7057;2341
"Naantali";20129;5221
"Nakkila";4939;1340
"Nivala";10378;3729
"Nokia";36176;12345
"Nousiainen";4659;929
"Nurmes";8980;3153
"Nurmijärvi";45048;12258
"Närpiö";9554;4536
"Orimattila";15651;4544
"Oripää";1304;486
"Orivesi";8869;2367
"Oulainen";6912;2564
"Oulu";216152;97873
"Outokumpu";6444;2353
"Padasjoki";2676;684
"Paimio";11221;3188
"Paltamo";2990;810
"Parainen";14868;4986
"Parikkala";4300;1134
"Parkano";6069;2348
"Pedersören kunta";11226;4428
"Pelkosenniemi";910;408
"Pello";3191;1047
"Perho";2594;814
"Petäjävesi";3552;747
"Pieksämäki";17178;6432
"Pielavesi";3980;1085
"Pietarsaari";19576;11285
"Pihtipudas";3692;1265
"Pirkkala";21042;9928
"Polvijärvi";3999;997
"Pomarkku";1931;504
"Pori";83305;34578
"Pornainen";4961;1063
"Porvoo";51737;21331
"Posio";2878;831
"Pudasjärvi";7304;2318
"Pukkila";1743;488
"Punkalaidun";2607;719
"Puolanka";2345;592
"Puumala";2101;553
"Pyhtää";5001;983
"Pyhäjoki";2976;703
"Pyhäjärvi";4702;1438
"Pyhäntä";1641;762
"Pyhäranta";1919;382
"Pälkäne";6238;1735
"Pöytyä";8011;2382
"Raahe";23571;9758
"Raasepori";27036;9703
"Raisio";25738;11474
"Rantasalmi";3246;1052
"Ranua";3570;1148
"Rauma";38968;16734
"Rautalampi";2935;833
"Rautavaara";1413;392
"Rautjärvi";3008;795
"Reisjärvi";2556;873
"Riihimäki";28643;11940
"Ristijärvi";1163;275
"Rovaniemi";65722;29022
"Ruokolahti";4733;963
"Ruovesi";4039;1334
"Rusko";6418;2009
"Rääkkylä";1881;429
"Saarijärvi";8858;2674
"Salla";3285;1112
"Salo";50870;18449
"Saltvik";1778;459
"Sastamala";23464;7853
"Sauvo";2965;734
"Savitaipale";3188;861
"Savonlinna";31460;11733
"Savukoski";964;359
"Seinäjoki";66611;33610
"Sievi";4603;2016
"Siikainen";1264;348
"Siikajoki";4804;1618
"Siikalatva";4938;1631
"Siilinjärvi";21269;7145
"Simo";2778;576
"Sipoo";22826;6920
"Siuntio";6182;1288
"Sodankylä";8127;3822
"Soini";1800;647
"Somero";8429;2706
"Sonkajärvi";3570;1054
"Sotkamo";10185;4730
"Sottunga";101;26
"Sulkava";2361;673
"Sund";1001;199
"Suomussalmi";7038;2054
"Suonenjoki";6632;2280
"Sysmä";3428;940
"Säkylä";6256;3118
"Taipalsaari";4596;746
"Taivalkoski";3657;1155
"Taivassalo";1692;463
"Tammela";5832;1739
"Tampere";260180;138159
"Tervo";1388;341
"Tervola";2826;1008
"Teuva";4662;1517
"Tohmajärvi";3976;1171
"Toholampi";2799;972
"Toivakka";2349;548
"Tornio";20959;8856
"Turku";206073;109511
"Tuusniemi";2311;579
"Tuusula";42225;14251
"Tyrnävä";6501;1314
"Ulvila";12382;3869
"Urjala";4493;1310
"Utajärvi";2466;779
"Utsjoki";1137;445
"Uurainen";3657;739
"Uusikaarlepyy";7439;3161
"Uusikaupunki";14814;7005
"Vaala";2581;791
"Vaasa";70361;39139
"Valkeakoski";20847;6499
"Vantaa";251269;127410
"Varkaus";19669;7924
"Vehmaa";2246;661
"Vesanto";1851;486
"Vesilahti";4511;940
"Veteli";2931;980
"Vieremä";3352;1936
"Vihti";28799;7697
"Viitasaari";5764;2085
"Vimpeli";2607;927
"Virolahti";2831;1010
"Virrat";6190;2227
"Vårdö";459;134
"Vöyri";6210;2268
"Ylitornio";3721;1138
"Ylivieska";15406;6863
"Ylöjärvi";33704;10178
"Ypäjä";2193;559
"Ähtäri";5220;1811
"Äänekoski";17740;6839
